field_name,field_type,calculation_or_logic,dashboard_use,notes
Intervention Theatre,Categorical,"Combines remoteness_group and speed_band. Regional high-speed roads = Inner Regional, Outer Regional, Remote, or Very Remote with speed band 90 km/h and above. Major-city urban streets = Major Cities with speed band 80 km/h and below. All other combinations are Other road contexts.","Focus area chart, human layer, what-if selector, priority theatre KPI","Created to convert many road-environment fields into decision-ready funding theatres."
Road User Group,Categorical,"Pedestrian, pedal cyclist, motorcycle rider, and motorcycle pillion passenger are grouped as Vulnerable road user. Other known road users are grouped as Vehicle occupant. Unknown values are handled separately during preparation.","Human layer stacked bars and tooltips","Simplifies detailed BITRE road-user categories into policy-relevant human impact groups."
Fatalities,Numeric,"SUM(deaths) or count of fatality rows where each row represents one person killed.","All fatality count KPIs and charts","Use fatality rows, not unique crash_id, because the dashboard is about people killed."
Latest Fatalities,Numeric,"Fatalities filtered to the latest intervention window: 2024-Jan 2026.","Latest fatalities KPI and final dashboard headline","Current displayed value is 2,714 fatalities."
Change From 2024 To 2025,Percentage,"(fatalities in 2025 - fatalities in 2024) / fatalities in 2024.","KPI row and Story 1 warning view","2026 is excluded because only January 2026 is available."
Fatalities Per 100k,Numeric,"SUM(deaths) / AVG(population) * 100000 after joining BITRE to ABS population by state + year.","State risk bar chart","Use AVG(population) after row-level joins to avoid summing repeated population denominators."
Highest State Risk Per 100k,Numeric,"Maximum fatalities per 100,000 residents across states in the full recent comparison window.","KPI row and state risk annotation","Current highlighted state is NT at 37.4 fatalities per 100,000 residents."
Priority Theatre Share,Percentage,"Fatalities in Regional high-speed roads plus Major-city urban streets divided by all fatalities in the latest intervention window.","KPI row and focus area subtitle","Current displayed value is 70.8%."
Selected Fatalities,Numeric,"Fatalities currently included by the Intervention Theatre selector in the what-if panel.","What-if scenario estimator","When the two priority theatres are selected, selected fatalities = 1,065 + 857 = 1,922."
Target Reduction %,Parameter,"User-selected target reduction percentage applied to selected fatalities.","What-if scenario estimator","Default scenario shown in the dashboard uses 5%."
Potential Lives Saved,Numeric,"Selected Fatalities * Target Reduction %. Rounded for display.","What-if scenario estimator and Story 4 decision view","With the two priority theatres selected at 5%, 1,922 * 0.05 = 96.1, displayed as 96 potential lives saved."
Time Band Short,Categorical,"Groups crash time into readable bands: Late night, Morning, Daytime, Evening, and Night.","Timing heatmap","Used to show that the strongest fatality cell is Sunday daytime, not late night."
Full Recent Year Flag,Categorical,"Flags 2024 and 2025 as full recent years and excludes 2026 from full-year annual comparison.","Annual trend comparison and change KPI","Prevents January 2026 from being compared as if it were a full year."
Weather Context,Categorical or Numeric,"Weather fields joined by state + year + month and used only as contextual enrichment.","Source notes, tooltip/context documentation","Not used to claim crash-day causation because BITRE does not provide exact crash dates."
